Komentar,label_index,predicted_label
"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",,Unknown class
"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",,Unknown class
"""Gua berharap lu aja si yg sakit bukan laura lol""",0.0,Normal
"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",,Unknown class
"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",,Unknown class
"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",,Unknown class
"""Si gaga kok kek anjing""",,Unknown class
"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",,Unknown class
"""Gak ada cantiknya. Gila yang ada""",,Unknown class
"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",0.0,Normal
"""Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..""",,Unknown class
"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",,Unknown class
"""kumat… lama semedinya segini keluarnya""",,Unknown class
"""Tangannya hitam… beda ama muka""",,Unknown class
"""Kok meldi di foto aku gendut beda""",,Unknown class
"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",,Unknown class
"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",,Unknown class
"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",0.0,Normal
"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",,Unknown class
"""Lo kira lo bagus tuh begitu anjing wkwkw""",,Unknown class
"""Di maafin aaa… semoga dia jera untuk kedepannya…""",,Unknown class
"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",,Unknown class
"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",,Unknown class
"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",,Unknown class
"""Lu Mati ajalah . Udah biar gak bikin ribet""",,Unknown class
"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",,Unknown class
"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",,Unknown class
"""youtuber toxic, tutup akunmu sekalian tutup usia""",,Unknown class
"""Pada ribet kayak udah pada benar aja lu semua""",,Unknown class
"""Jangan ada hitam diatas putih. Langsung proses""",,Unknown class
"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",,Unknown class
"""Manusia apa hewan sih kok gak punya hati banget""",,Unknown class
"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",,Unknown class
"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",,Unknown class
"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",,Unknown class
"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",,Unknown class
"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",,Unknown class
"""ANJING SINI LO BAKU HANTAM AYO""",,Unknown class
"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",,Unknown class
"""Jangan patah semngat kak sukses terus""",0.0,Normal
"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",0.0,Normal
"""Sumpah sekarang aku respect banget sama kamu""",0.0,Normal
"""Menurutku pribadi, dia tulus minta maafnya….""",,Unknown class
"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",,Unknown class
"""Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol""",,Unknown class
"""Hapus ajh ni poto ngk tau malu bgt lu bang""",,Unknown class
"""Intinya gasuka ajg selama ada listy . Ngrusak suasana""",,Unknown class
"""Di foto ini ada 2 anjing dan 1 kontol""",,Unknown class
"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",,Unknown class
"""Puny cewk baik di selingkuhin g ngotak""",0.0,Normal
"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",,Unknown class
"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",,Unknown class
"""Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih""",,Unknown class
"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",,Unknown class
"""Ini anjing Kok mirip ya sama Erick""",,Unknown class
"""Muka Pas""an sok sok an mau sm lonte lo anjing""",,Unknown class
"""Lu sama anjingnya, lebih baik anjingnya""",,Unknown class
"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",,Unknown class
"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",0.0,Normal
"""Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego""",0.0,Normal
"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",,Unknown class
"""cewe cakep, setia kok disia sia in sahabat""",,Unknown class
"""loh kok ak liatnya anjing semua yaa""",,Unknown class
"""Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item""",,Unknown class
"""Mantan Anjing, eh kebalik anjing mantan""",,Unknown class
"""Bikin skandal karena kepengen tenar?""",,Unknown class
"""Wiii anjay kapan lagi liat babi megang 2 anjing""",,Unknown class
"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",0.0,Normal
"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",,Unknown class
"""SESAMA ANJING FOTO DULU YA KAN""",,Unknown class
"""potret seorjing memegang anjing kwkw""",,Unknown class
"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",,Unknown class
"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",,Unknown class
"""kalo lomba sama""an sm babi, babi nya nmr 2""",,Unknown class
"""Si anjing ketika berfoto dengan si anjing""",,Unknown class
"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",,Unknown class
"""erikontolim manusia babi anak lonte""",,Unknown class
"""HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!""",,Unknown class
"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",,Unknown class
"""Anjing sekarang hebat ya, bisa pake kacamata""",0.0,Normal
"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",,Unknown class
"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",,Unknown class
"""Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg""",0.0,Normal
"""dasar orang tua gada akhlak,ngajarin anaknya yang ga bener""",,Unknown class
"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",,Unknown class
"""Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu""",,Unknown class
"""guys dr pd comment2 mending unfoll sm unsubscribe aja yaa""",,Unknown class
"""Babi lagi main ma anjing :)""",0.0,Normal
"""Dikasi BIDADARI MALAH PILIH BABI""",,Unknown class
"""Postingan pertama jg dihujat dong gila netijen""",,Unknown class
"""BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…""",,Unknown class
"""Dikasih bidadari malah milih setan""",,Unknown class
"""Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(""",,Unknown class
"""SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!""",,Unknown class
"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",0.0,Normal
"""kesini cmn mo liat komen aja""",0.0,Normal
"""Buset hate comment ampe postingan paling bawah""",,Unknown class
"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",0.0,Normal
"""Pantes banyak utang buat bayar lonte""",,Unknown class
"""2 3 tutup botol muka lu kek kontol wkwk""",,Unknown class
"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",0.0,Normal
"""Dah lah. Gw capek baca komen kalian""",,Unknown class
"""Keliatan bgt anjingnya ketakutan foto sama dakjal""",0.0,Normal
"""Astaga ngehujat sampe postingan paling bawah""",,Unknown class
"""Lebih najis elu daripada anjing!""",,Unknown class
"""2 ekor anjing dan satu buaya makan jambut""",,Unknown class
"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",,Unknown class
"""Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol""",0.0,Normal
"""Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu""",,Unknown class
"""Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada""",,Unknown class
"""Potret ketika anjing poto dengan setan""",,Unknown class
"""BANTU BEDAINN WOYY MANA ANJING MANA BABI""",,Unknown class
"""Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian""",,Unknown class
"""3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw""",,Unknown class
"""Kasian gue sama anjingnya dipegang dajjal""",0.0,Normal
"""Kasian anjing nya di pegang babi""",0.0,Normal
"""Lo itu kontol gak guna ajg anak dakjal""",,Unknown class
"""mukak lu lebih buruk daripada anjing lu""",,Unknown class
"""dikasi yang bening malah milih yang dakian""",,Unknown class
"""Mending masuk penjara lagi aja dah seumur hidup""",,Unknown class
"""Kok lbih lucu anjingnya ya ktimbang orangnya""",,Unknown class
"""Akhirnya jesica bisa lepas dari kambing hitam ini""",0.0,Normal
"""Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah""",,Unknown class
"""Kasian anjingnya dipeluk sma sampahh""",0.0,Normal
"""Gua kira keluar dari PENJARA bisa berubah""",,Unknown class
"""Cintamu hanya sebatas kertas wkwkw enteng bang""",,Unknown class
"""Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(""",,Unknown class
"""udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.""",,Unknown class
"""Dihujat habis""an semua postingan lama ada komen baru wkwk""",0.0,Normal
"""Gua gabisa bedain mana anjing mana manusia, keliatannya sama""",,Unknown class
"""Lu mirip anaknya kick andy yg namanya marlo bang""",,Unknown class
"""Kenapa ada orang baik ? Karna ada orang jahat""",,Unknown class
"""Ngga ada niatan ngadain pengajian gitu bang?""",,Unknown class
"""Suka banget sama rambutnyaa tambah ganteng""",0.0,Normal
"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",,Unknown class
"""Ninggalin berlian demi tai babi dih""",,Unknown class
"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",,Unknown class
"""Mukak lo kayak tapir kuda asu sok ganteng banget lo""",,Unknown class
"""Banyak yg kecewa karena lu begini rik!!!!""",,Unknown class
"""Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",,Unknown class
"""Apa si hebatnya banci yg badannya penuh koreng kaya lo""",0.0,Normal
"""Gini dong bersihan kaga kek tahun tahun sebelumnya dekil""",,Unknown class
"""Muka lu keriput kek aki aki""",,Unknown class
"""Foto jelek dihujat, foto ganteng dibilang sok ganteng""",0.0,Normal
"""kebanyakan nyabu jadi kurus lu""",,Unknown class
"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",,Unknown class
"""Fotolu pede anjrit muka lu tu anjrit""",,Unknown class
"""Hidup itu jngn keterlaluan boss playboy amat ajg luu""",,Unknown class
"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",0.0,Normal
"""dah jelek semangattt pulak WKWK""",,Unknown class
"""Muka nya kok gitu, seren bikin mual liatnya""",0.0,Normal
"""Sana anjing ngewe ama lonte bangsat""",,Unknown class
"""Muka kek kontol mending di penjara""",,Unknown class
"""muka kek banci dih najis""",,Unknown class
"""Ntar Mati dalam keadaan konyol""",,Unknown class
"""mau bilang jelek nya ga enak hehe …""",,Unknown class
"""Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…""",,Unknown class
"""NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2""",0.0,Normal
"""Titisan dakjal emg lo nyet""",,Unknown class
"""Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama""",,Unknown class
"""Jijik astagah sok bat cakep njs""",,Unknown class
"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",0.0,Normal
"""udah buriq brengsek pula pantes aja dapet lonte""",0.0,Normal
"""MUKA KAMPUNG GAYA SOK SOAN KOTA NYET""",,Unknown class
"""Ngapa lidah Lo stroke amin deh kalau gtu""",0.0,Normal
